Pt,Set1,Set2,Gm1,Gm2,Pts,Gm (Pt),Serving,1st,2nd,Notes
60,1,0,0,0,0-0,1 (1),M,4fiw#,,
61,1,0,0,0,0-15,1 (2),M,4d,4sbfn@,
62,1,0,0,0,15-15,1 (3),M,6*,,
63,1,0,0,0,30-15,1 (4),M,4w,4bd#,
64,1,0,0,0,40-15,1 (5),M,6s#,,
65,1,0,1,0,0-0,2 (1),F,6son@,,
66,1,0,1,0,0-15,2 (2),F,4x,4bbbssfffbbfbd@,
67,1,0,1,0,0-30,2 (3),F,6n,6bff*,Net cord
68,1,0,1,0,0-40,2 (4),F,4w,4bbbfffbyf*,
69,1,0,2,0,0-0,3 (1),M,4d,4d,
70,1,0,2,0,0-15,3 (2),M,6bffbfb#,,
71,1,0,2,0,0-30,3 (3),M,6n,6bn#,
72,1,0,2,0,15-30,3 (4),M,5sfw@,,
73,1,0,2,0,15-40,3 (5),M,5d,6bbh#,
74,1,0,2,0,30-40,3 (6),M,4n,5ssfbffffsslobz*,
75,1,0,2,0,40-40,3 (7),M,6sfbzf*,,
76,1,0,2,0,40-AD,3 (8),M,4sfsfrn#,,
77,1,0,2,0,40-40,3 (9),M,6n,6bbffbbfffffs#,
78,1,0,2,0,40-AD,3 (10),M,5bd#,,
79,1,0,2,0,40-40,3 (11),M,5sbbbfw@,,
80,1,0,2,0,AD-40,3 (12),M,4sfssbsbbd@,,
81,1,0,2,0,40-40,3 (13),M,6d,5ffbfbfn@,
82,1,0,2,0,40-AD,3 (14),M,4ssfbbbfbfbbbbfrfsd#,,
83,1,0,2,0,40-40,3 (15),M,6d,6bbbffffbffd#,
84,1,0,2,0,40-AD,3 (16),M,4x,5bbbffn#,
85,1,0,2,0,40-40,3 (17),M,4fw#,,
86,1,0,2,0,AD-40,3 (18),M,4bfffbbn#,,
87,1,0,2,0,40-40,3 (19),M,5d,6bb*,
88,1,0,2,0,AD-40,3 (20),M,5sfffffbd@,,
